x1,x2,sentence1,sentence2,y_type,y_score
.,,A cat standing on tree branches .,A black and white cat is high up on tree branches .,NOALI,NIL
,high up,A cat standing on tree branches .,A black and white cat is high up on tree branches .,NOALI,NIL
,.,A cat standing on tree branches .,A black and white cat is high up on tree branches .,NOALI,NIL
A cat,A black and white cat,A cat standing on tree branches .,A black and white cat is high up on tree branches .,SPE2,4
standing,is,A cat standing on tree branches .,A black and white cat is high up on tree branches .,EQUI,5
on tree branches,on tree branches,A cat standing on tree branches .,A black and white cat is high up on tree branches .,EQUI,5
in the water,on the sea,A large boat in the water at the marina .,A large boat on the sea .,SPE2,4
at the marina,,A large boat in the water at the marina .,A large boat on the sea .,NOALI,NIL
,.,A large boat in the water at the marina .,A large boat on the sea .,NOALI,NIL
.,,A large boat in the water at the marina .,A large boat on the sea .,NOALI,NIL
A large boat,A large boat,A large boat in the water at the marina .,A large boat on the sea .,EQUI,5
waiting,sits,A passenger train waiting in a station .,A passenger train sits in the station .,SIMI,4
in a station,in the station,A passenger train waiting in a station .,A passenger train sits in the station .,EQUI,5
A passenger train,A passenger train,A passenger train waiting in a station .,A passenger train sits in the station .,EQUI,5
,.,A passenger train waiting in a station .,A passenger train sits in the station .,NOALI,NIL
.,,A passenger train waiting in a station .,A passenger train sits in the station .,NOALI,NIL
sitting,sitting,An Apple computer sitting on the floor .,A Macintosh computer sitting on the floor .,EQUI,5
,.,An Apple computer sitting on the floor .,A Macintosh computer sitting on the floor .,NOALI,NIL
.,,An Apple computer sitting on the floor .,A Macintosh computer sitting on the floor .,NOALI,NIL
on the floor,on the floor,An Apple computer sitting on the floor .,A Macintosh computer sitting on the floor .,EQUI,5
An Apple computer,A Macintosh computer,An Apple computer sitting on the floor .,A Macintosh computer sitting on the floor .,EQUI,5
a horse,a horse,A jockey riding a horse .,A jockey riding a horse in a pen .,EQUI,5
,.,A jockey riding a horse .,A jockey riding a horse in a pen .,NOALI,NIL
.,,A jockey riding a horse .,A jockey riding a horse in a pen .,NOALI,NIL
,in a pen,A jockey riding a horse .,A jockey riding a horse in a pen .,NOALI,NIL
riding,riding,A jockey riding a horse .,A jockey riding a horse in a pen .,EQUI,5
A jockey,A jockey,A jockey riding a horse .,A jockey riding a horse in a pen .,EQUI,5
A woman,A young girl,A woman riding a brown horse .,A young girl riding a brown horse .,SIMI,4
.,,A woman riding a brown horse .,A young girl riding a brown horse .,NOALI,NIL
riding,riding,A woman riding a brown horse .,A young girl riding a brown horse .,EQUI,5
a brown horse,a brown horse,A woman riding a brown horse .,A young girl riding a brown horse .,EQUI,5
,.,A woman riding a brown horse .,A young girl riding a brown horse .,NOALI,NIL
A man,A man,A man sleeps with a baby in his lap .,A man asleep in a chair holding a baby .,EQUI,5
,in a chair,A man sleeps with a baby in his lap .,A man asleep in a chair holding a baby .,NOALI,NIL
sleeps,asleep,A man sleeps with a baby in his lap .,A man asleep in a chair holding a baby .,EQUI,5
.,,A man sleeps with a baby in his lap .,A man asleep in a chair holding a baby .,NOALI,NIL
,.,A man sleeps with a baby in his lap .,A man asleep in a chair holding a baby .,NOALI,NIL
with a baby in his lap,holding a baby,A man sleeps with a baby in his lap .,A man asleep in a chair holding a baby .,SPE1,4
in front of yellow flowers,in a field,A black dog standing in front of yellow flowers .,A black dog standing in a field .,SIMI,2
,.,A black dog standing in front of yellow flowers .,A black dog standing in a field .,NOALI,NIL
A black dog,A black dog,A black dog standing in front of yellow flowers .,A black dog standing in a field .,EQUI,5
.,,A black dog standing in front of yellow flowers .,A black dog standing in a field .,NOALI,NIL
standing,standing,A black dog standing in front of yellow flowers .,A black dog standing in a field .,EQUI,5
standing,grazing,sheep standing in afield .,A sheep grazing in a field .,SPE2,3
.,,sheep standing in afield .,A sheep grazing in a field .,NOALI,NIL
,.,sheep standing in afield .,A sheep grazing in a field .,NOALI,NIL
in afield,in a field,sheep standing in afield .,A sheep grazing in a field .,EQUI,5
sheep,A sheep,sheep standing in afield .,A sheep grazing in a field .,EQUI,5
standing,stands,A dark brown horse standing in a field .,A brown horse stands in a lush green field .,EQUI,5
in a field,in a lush green field,A dark brown horse standing in a field .,A brown horse stands in a lush green field .,SPE2,3
A dark brown horse,A brown horse,A dark brown horse standing in a field .,A brown horse stands in a lush green field .,SPE1,4
.,,A dark brown horse standing in a field .,A brown horse stands in a lush green field .,NOALI,NIL
,.,A dark brown horse standing in a field .,A brown horse stands in a lush green field .,NOALI,NIL
A group,A group,A group of people sitting around a table with food on it .,A group of people sit around a table with food and beer .,EQUI,5
.,,A group of people sitting around a table with food on it .,A group of people sit around a table with food and beer .,NOALI,NIL
with food,with food and beer,A group of people sitting around a table with food on it .,A group of people sit around a table with food and beer .,SPE2,4
around a table,around a table,A group of people sitting around a table with food on it .,A group of people sit around a table with food and beer .,EQUI,5
on it,,A group of people sitting around a table with food on it .,A group of people sit around a table with food and beer .,NOALI,NIL
of people,of people,A group of people sitting around a table with food on it .,A group of people sit around a table with food and beer .,EQUI,5
,.,A group of people sitting around a table with food on it .,A group of people sit around a table with food and beer .,NOALI,NIL
sitting,sit,A group of people sitting around a table with food on it .,A group of people sit around a table with food and beer .,EQUI,5
in a lush green field,in a green field,A brown horse stands in a lush green field .,A brown horse in a green field .,SPE1,4
stands,,A brown horse stands in a lush green field .,A brown horse in a green field .,NOALI,NIL
.,,A brown horse stands in a lush green field .,A brown horse in a green field .,NOALI,NIL
A brown horse,A brown horse,A brown horse stands in a lush green field .,A brown horse in a green field .,EQUI,5
,.,A brown horse stands in a lush green field .,A brown horse in a green field .,NOALI,NIL
at her feet,at her feet,An elderly woman stands in a kitchen with two cats at her feet .,The old lady is standing in the kitchen with two cats at her feet .,EQUI,5
in a kitchen,in the kitchen,An elderly woman stands in a kitchen with two cats at her feet .,The old lady is standing in the kitchen with two cats at her feet .,EQUI,5
,.,An elderly woman stands in a kitchen with two cats at her feet .,The old lady is standing in the kitchen with two cats at her feet .,NOALI,NIL
stands,is standing,An elderly woman stands in a kitchen with two cats at her feet .,The old lady is standing in the kitchen with two cats at her feet .,EQUI,5
.,,An elderly woman stands in a kitchen with two cats at her feet .,The old lady is standing in the kitchen with two cats at her feet .,NOALI,NIL
with two cats,with two cats,An elderly woman stands in a kitchen with two cats at her feet .,The old lady is standing in the kitchen with two cats at her feet .,EQUI,5
An elderly woman,The old lady,An elderly woman stands in a kitchen with two cats at her feet .,The old lady is standing in the kitchen with two cats at her feet .,EQUI,5
Red double decker bus,Double decker passenger bus,Red double decker bus driving through the streets .,Double decker passenger bus driving with traffic .,SPE1,4
,.,Red double decker bus driving through the streets .,Double decker passenger bus driving with traffic .,NOALI,NIL
through the streets,with traffic,Red double decker bus driving through the streets .,Double decker passenger bus driving with traffic .,REL,3
.,,Red double decker bus driving through the streets .,Double decker passenger bus driving with traffic .,NOALI,NIL
driving,driving,Red double decker bus driving through the streets .,Double decker passenger bus driving with traffic .,EQUI,5
in a cluttered room,in a cluttered room,A man sitting in a cluttered room .,A man lies in a bed in a cluttered room .,EQUI,5
,in a bed,A man sitting in a cluttered room .,A man lies in a bed in a cluttered room .,NOALI,NIL
.,,A man sitting in a cluttered room .,A man lies in a bed in a cluttered room .,NOALI,NIL
,.,A man sitting in a cluttered room .,A man lies in a bed in a cluttered room .,NOALI,NIL
sitting,lies,A man sitting in a cluttered room .,A man lies in a bed in a cluttered room .,SIMI,4
A man,A man,A man sitting in a cluttered room .,A man lies in a bed in a cluttered room .,EQUI,5
walking,walking,Black cow walking under trees in pasture .,Cow walking under the tree in a pasture .,EQUI,5
.,,Black cow walking under trees in pasture .,Cow walking under the tree in a pasture .,NOALI,NIL
in pasture,in a pasture,Black cow walking under trees in pasture .,Cow walking under the tree in a pasture .,EQUI,5
Black cow,Cow,Black cow walking under trees in pasture .,Cow walking under the tree in a pasture .,SPE1,4
under trees,under the tree,Black cow walking under trees in pasture .,Cow walking under the tree in a pasture .,SIMI,4
,.,Black cow walking under trees in pasture .,Cow walking under the tree in a pasture .,NOALI,NIL
A smiling woman,Two women,A smiling woman with a beer sitting outside with another smiling woman .,Two women sitting outside laughing .,SIMI,3
with another smiling woman,laughing,A smiling woman with a beer sitting outside with another smiling woman .,Two women sitting outside laughing .,REL,2
with a beer,,A smiling woman with a beer sitting outside with another smiling woman .,Two women sitting outside laughing .,NOALI,NIL
.,,A smiling woman with a beer sitting outside with another smiling woman .,Two women sitting outside laughing .,NOALI,NIL
sitting,sitting,A smiling woman with a beer sitting outside with another smiling woman .,Two women sitting outside laughing .,EQUI,5
,.,A smiling woman with a beer sitting outside with another smiling woman .,Two women sitting outside laughing .,NOALI,NIL
outside,outside,A smiling woman with a beer sitting outside with another smiling woman .,Two women sitting outside laughing .,EQUI,5
.,,a woman with a big necklace .,A young woman with a black top and a necklace .,NOALI,NIL
a woman,A young woman,a woman with a big necklace .,A young woman with a black top and a necklace .,SPE2,4
with a big necklace,with a black top and a necklace,a woman with a big necklace .,A young woman with a black top and a necklace .,SPE1,3
,.,a woman with a big necklace .,A young woman with a black top and a necklace .,NOALI,NIL
