x1	x2	sentence1	sentence2	y_type	y_score
at 91	aged 91	Former Nazi death camp guard Demjanjuk dead at 91	John Demjanjuk , convicted Nazi death camp guard , dies aged 91	EQUI	5
Former Nazi death camp guard Demjanjuk	John Demjanjuk convicted Nazi death camp guard	Former Nazi death camp guard Demjanjuk dead at 91	John Demjanjuk , convicted Nazi death camp guard , dies aged 91	SPE1_FACT	3
dead	dies	Former Nazi death camp guard Demjanjuk dead at 91	John Demjanjuk , convicted Nazi death camp guard , dies aged 91	EQUI	5
	,	Former Nazi death camp guard Demjanjuk dead at 91	John Demjanjuk , convicted Nazi death camp guard , dies aged 91	NOALI	0
	,	Former Nazi death camp guard Demjanjuk dead at 91	John Demjanjuk , convicted Nazi death camp guard , dies aged 91	NOALI	0
to compete	To Compete	Saudis to permit women to compete in Olympics	Saudi Women Allowed To Compete At Olympics	EQUI	5
Saudis	Saudi Women	Saudis to permit women to compete in Olympics	Saudi Women Allowed To Compete At Olympics	REL	3
in Olympics	At Olympics	Saudis to permit women to compete in Olympics	Saudi Women Allowed To Compete At Olympics	EQUI	5
women	Saudi Women	Saudis to permit women to compete in Olympics	Saudi Women Allowed To Compete At Olympics	EQUI	5
to permit	Allowed	Saudis to permit women to compete in Olympics	Saudi Women Allowed To Compete At Olympics	EQUI	5
kills	kills	US drone strike kills 5 militants in Pakistan	Drone strike kills four suspected militants in Pakistan	EQUI	5
US drone strike	Drone strike	US drone strike kills 5 militants in Pakistan	Drone strike kills four suspected militants in Pakistan	SPE1	4
in Pakistan	in Pakistan	US drone strike kills 5 militants in Pakistan	Drone strike kills four suspected militants in Pakistan	EQUI	5
5 militants	four suspected militants	US drone strike kills 5 militants in Pakistan	Drone strike kills four suspected militants in Pakistan	SIMI_FACT	4
says		"Syria peace plan conditions "" unacceptable , "" opposition says"	Syria peace dashed as deadline passes	NOALI	0
,		"Syria peace plan conditions "" unacceptable , "" opposition says"	Syria peace dashed as deadline passes	NOALI	0
	dashed	"Syria peace plan conditions "" unacceptable , "" opposition says"	Syria peace dashed as deadline passes	NOALI	0
""""		"Syria peace plan conditions "" unacceptable , "" opposition says"	Syria peace dashed as deadline passes	NOALI	0
""""		"Syria peace plan conditions "" unacceptable , "" opposition says"	Syria peace dashed as deadline passes	NOALI	0
	as deadline passes	"Syria peace plan conditions "" unacceptable , "" opposition says"	Syria peace dashed as deadline passes	NOALI	0
opposition		"Syria peace plan conditions "" unacceptable , "" opposition says"	Syria peace dashed as deadline passes	NOALI	0
unacceptable		"Syria peace plan conditions "" unacceptable , "" opposition says"	Syria peace dashed as deadline passes	NOALI	0
Syria peace plan conditions	Syria peace	"Syria peace plan conditions "" unacceptable , "" opposition says"	Syria peace dashed as deadline passes	SPE1	2
denies		Syrian regime denies role in Houla massacre	Syria blames rebels for Houla massacre of over 100	NOALI	0
Syrian regime	Syria	Syrian regime denies role in Houla massacre	Syria blames rebels for Houla massacre of over 100	EQUI_POL	5
role		Syrian regime denies role in Houla massacre	Syria blames rebels for Houla massacre of over 100	NOALI	0
	of over 100	Syrian regime denies role in Houla massacre	Syria blames rebels for Houla massacre of over 100	NOALI	0
in Houla massacre	for Houla massacre	Syrian regime denies role in Houla massacre	Syria blames rebels for Houla massacre of over 100	EQUI	5
	rebels	Syrian regime denies role in Houla massacre	Syria blames rebels for Houla massacre of over 100	NOALI	0
	blames	Syrian regime denies role in Houla massacre	Syria blames rebels for Houla massacre of over 100	NOALI	0
China stocks	Chinese stocks	China stocks close mixed Friday	Chinese stocks close higher midday Friday	EQUI	5
Friday	midday Friday	China stocks close mixed Friday	Chinese stocks close higher midday Friday	SPE2	4
mixed	higher	China stocks close mixed Friday	Chinese stocks close higher midday Friday	SIMI	2
close	close	China stocks close mixed Friday	Chinese stocks close higher midday Friday	EQUI	5
	In Kenya	Mall attackers used ` less is more ' strategy	In Kenya , attackers used ` less is more ' strategy	NOALI	0
Mall attackers	attackers	Mall attackers used ` less is more ' strategy	In Kenya , attackers used ` less is more ' strategy	SPE1	4
used	used	Mall attackers used ` less is more ' strategy	In Kenya , attackers used ` less is more ' strategy	EQUI	5
` less is more ' strategy	` less is more ' strategy	Mall attackers used ` less is more ' strategy	In Kenya , attackers used ` less is more ' strategy	EQUI	5
	,	Mall attackers used ` less is more ' strategy	In Kenya , attackers used ` less is more ' strategy	NOALI	0
		6.8 quake strikes off Solomon Islands	Magnitude 6.3 quake strikes off Solomon Islands : USGS	NOALI	0
Solomon Islands	Solomon Islands	6.8 quake strikes off Solomon Islands	Magnitude 6.3 quake strikes off Solomon Islands : USGS	EQUI	5
strikes off	strikes off	6.8 quake strikes off Solomon Islands	Magnitude 6.3 quake strikes off Solomon Islands : USGS	EQUI	5
6.8 quake	Magnitude 6.3 quake	6.8 quake strikes off Solomon Islands	Magnitude 6.3 quake strikes off Solomon Islands : USGS	SIMI	4
	USGS	6.8 quake strikes off Solomon Islands	Magnitude 6.3 quake strikes off Solomon Islands : USGS	NOALI	0
recognizes	recognize	Friends of Syria recognizes opposition coalition as legitimate representative of Syrian people	U.S. , Friends of Syria recognize opposition as sole representative	EQUI	5
	U.S.	Friends of Syria recognizes opposition coalition as legitimate representative of Syrian people	U.S. , Friends of Syria recognize opposition as sole representative	NOALI	0
of Syria	of Syria	Friends of Syria recognizes opposition coalition as legitimate representative of Syrian people	U.S. , Friends of Syria recognize opposition as sole representative	EQUI	5
of Syrian people		Friends of Syria recognizes opposition coalition as legitimate representative of Syrian people	U.S. , Friends of Syria recognize opposition as sole representative	NOALI	NIL
as legitimate representative	as sole representative	Friends of Syria recognizes opposition coalition as legitimate representative of Syrian people	U.S. , Friends of Syria recognize opposition as sole representative	SIMI	4
Friends	Friends	Friends of Syria recognizes opposition coalition as legitimate representative of Syrian people	U.S. , Friends of Syria recognize opposition as sole representative	EQUI	5
opposition coalition	opposition	Friends of Syria recognizes opposition coalition as legitimate representative of Syrian people	U.S. , Friends of Syria recognize opposition as sole representative	EQUI	5
	,	Friends of Syria recognizes opposition coalition as legitimate representative of Syrian people	U.S. , Friends of Syria recognize opposition as sole representative	NOALI	0
detained	detains	7 detained for ` house sister ' scandal	China detains 7 for `` house sister '' scandal	EQUI	5
for ` house sister ' scandal	for `` house sister '' scandal	7 detained for ` house sister ' scandal	China detains 7 for `` house sister '' scandal	EQUI	5
7	7	7 detained for ` house sister ' scandal	China detains 7 for `` house sister '' scandal	EQUI	5
	China	7 detained for ` house sister ' scandal	China detains 7 for `` house sister '' scandal	NOALI	0
takes a beating	tumbles	"Boeing 787 Dreamliner catches fire ; stock takes a beating"	Boeing stock tumbles after fire on 787 Dreamliner	EQUI	5
Boeing 787 Dreamliner	on 787 Dreamliner	"Boeing 787 Dreamliner catches fire ; stock takes a beating"	Boeing stock tumbles after fire on 787 Dreamliner	EQUI	5
catches fire	after fire	"Boeing 787 Dreamliner catches fire ; stock takes a beating"	Boeing stock tumbles after fire on 787 Dreamliner	EQUI	5
stock	Boeing stock	"Boeing 787 Dreamliner catches fire ; stock takes a beating"	Boeing stock tumbles after fire on 787 Dreamliner	EQUI	5
";"		"Boeing 787 Dreamliner catches fire ; stock takes a beating"	Boeing stock tumbles after fire on 787 Dreamliner	NOALI	0
Gunmen		Gunmen abduct seven foreign workers in Nigeria	Seven foreign workers kidnapped in Nigeria	NOALI	0
seven foreign workers	Seven foreign workers	Gunmen abduct seven foreign workers in Nigeria	Seven foreign workers kidnapped in Nigeria	EQUI	5
in Nigeria	in Nigeria	Gunmen abduct seven foreign workers in Nigeria	Seven foreign workers kidnapped in Nigeria	EQUI	5
abduct	kidnapped	Gunmen abduct seven foreign workers in Nigeria	Seven foreign workers kidnapped in Nigeria	EQUI	5
Israeli forces	security forces	Palestinians clash with Israeli forces in West Bank , Jerusalem	Palestinians clash with security forces in W. Bank	EQUI	5
in West Bank , Jerusalem	in W. Bank	Palestinians clash with Israeli forces in West Bank , Jerusalem	Palestinians clash with security forces in W. Bank	EQUI	5
clash with	clash with	Palestinians clash with Israeli forces in West Bank , Jerusalem	Palestinians clash with security forces in W. Bank	EQUI	5
Palestinians	Palestinians	Palestinians clash with Israeli forces in West Bank , Jerusalem	Palestinians clash with security forces in W. Bank	EQUI	5
in bus accident	in road accident	12 killed in bus accident in Pakistan	10 killed in road accident in NW Pakistan	SPE1	4
killed	killed	12 killed in bus accident in Pakistan	10 killed in road accident in NW Pakistan	EQUI	5
12	10	12 killed in bus accident in Pakistan	10 killed in road accident in NW Pakistan	SIMI	4
in Pakistan	in NW Pakistan	12 killed in bus accident in Pakistan	10 killed in road accident in NW Pakistan	SPE2	4
Postpones	postpones	North Korea Postpones Family Reunions with South	North Korea ` postpones ' family unions with South Korea	EQUI	5
	'	North Korea Postpones Family Reunions with South	North Korea ` postpones ' family unions with South Korea	NOALI	0
Family Reunions	family unions	North Korea Postpones Family Reunions with South	North Korea ` postpones ' family unions with South Korea	EQUI	5
with South	with South Korea	North Korea Postpones Family Reunions with South	North Korea ` postpones ' family unions with South Korea	EQUI	5
	`	North Korea Postpones Family Reunions with South	North Korea ` postpones ' family unions with South Korea	NOALI	0
North Korea	North Korea	North Korea Postpones Family Reunions with South	North Korea ` postpones ' family unions with South Korea	EQUI	5
From Soccer	from football	David Beckham Announces Retirement From Soccer	David Beckham retires from football	EQUI	5
Announces Retirement	retires	David Beckham Announces Retirement From Soccer	David Beckham retires from football	EQUI_FACT	5
David Beckham	David Beckham	David Beckham Announces Retirement From Soccer	David Beckham retires from football	EQUI	5
of Injuries		Man Who Set Himself on Fire on National Mall Dies of Injuries	Man ` who set himself ablaze ' on National Mall dies	NOALI	0
	`	Man Who Set Himself on Fire on National Mall Dies of Injuries	Man ` who set himself ablaze ' on National Mall dies	NOALI	NIL
	'	Man Who Set Himself on Fire on National Mall Dies of Injuries	Man ` who set himself ablaze ' on National Mall dies	NOALI	NIL
on National Mall	on National Mall	Man Who Set Himself on Fire on National Mall Dies of Injuries	Man ` who set himself ablaze ' on National Mall dies	EQUI	5
Dies	dies	Man Who Set Himself on Fire on National Mall Dies of Injuries	Man ` who set himself ablaze ' on National Mall dies	EQUI	5
Man	Man	Man Who Set Himself on Fire on National Mall Dies of Injuries	Man ` who set himself ablaze ' on National Mall dies	EQUI	5
Who Set Himself on Fire	who set himself ablaze	Man Who Set Himself on Fire on National Mall Dies of Injuries	Man ` who set himself ablaze ' on National Mall dies	EQUI	5
Selected	is	Shinzo Abe Selected as Japan 's Prime Minister	Shinzo Abe is Japan 's prime minister	SIMI	4
as Japan	Japan	Shinzo Abe Selected as Japan 's Prime Minister	Shinzo Abe is Japan 's prime minister	EQUI	5
's Prime Minister	's prime minister	Shinzo Abe Selected as Japan 's Prime Minister	Shinzo Abe is Japan 's prime minister	EQUI	5
Shinzo Abe	Shinzo Abe	Shinzo Abe Selected as Japan 's Prime Minister	Shinzo Abe is Japan 's prime minister	EQUI	5
after ski accident	following skiing accident	Schumacher in a coma after ski accident	Michael Schumacher still in a coma fighting for his life following skiing accident	EQUI	5
	for his life	Schumacher in a coma after ski accident	Michael Schumacher still in a coma fighting for his life following skiing accident	NOALI	0
Schumacher	Michael Schumacher	Schumacher in a coma after ski accident	Michael Schumacher still in a coma fighting for his life following skiing accident	EQUI	5
in a coma	in a coma	Schumacher in a coma after ski accident	Michael Schumacher still in a coma fighting for his life following skiing accident	EQUI	5
	still	Schumacher in a coma after ski accident	Michael Schumacher still in a coma fighting for his life following skiing accident	NOALI	0
	fighting	Schumacher in a coma after ski accident	Michael Schumacher still in a coma fighting for his life following skiing accident	NOALI	0
a Lance Armstrong biopic	Lance Armstrong in biopic	Bradley Cooper and JJ Abrams in talks about filming a Lance Armstrong biopic	Bradley Cooper in talks to play Lance Armstrong in biopic	EQUI	5
Bradley Cooper and JJ Abrams	Bradley Cooper	Bradley Cooper and JJ Abrams in talks about filming a Lance Armstrong biopic	Bradley Cooper in talks to play Lance Armstrong in biopic	SPE2	3
about filming	to play	Bradley Cooper and JJ Abrams in talks about filming a Lance Armstrong biopic	Bradley Cooper in talks to play Lance Armstrong in biopic	REL	3
in talks	in talks	Bradley Cooper and JJ Abrams in talks about filming a Lance Armstrong biopic	Bradley Cooper in talks to play Lance Armstrong in biopic	EQUI	5
