x1,x2,y_type,y_score
at 91,aged 91,EQUI,5
Former Nazi death camp guard Demjanjuk,John Demjanjuk convicted Nazi death camp guard,SPE1_FACT,3
dead,dies,EQUI,5
,",",NOALI,0
,",",NOALI,0
to compete,To Compete,EQUI,5
Saudis,Saudi Women,REL,3
in Olympics,At Olympics,EQUI,5
women,Saudi Women,EQUI,5
to permit,Allowed,EQUI,5
kills,kills,EQUI,5
US drone strike,Drone strike,SPE1,4
in Pakistan,in Pakistan,EQUI,5
5 militants,four suspected militants,SIMI_FACT,4
says,,NOALI,0
",",,NOALI,0
,dashed,NOALI,0
"""",,NOALI,0
"""",,NOALI,0
,as deadline passes,NOALI,0
opposition,,NOALI,0
unacceptable,,NOALI,0
Syria peace plan conditions,Syria peace,SPE1,2
denies,,NOALI,0
Syrian regime,Syria,EQUI_POL,5
role,,NOALI,0
,of over 100,NOALI,0
in Houla massacre,for Houla massacre,EQUI,5
,rebels,NOALI,0
,blames,NOALI,0
China stocks,Chinese stocks,EQUI,5
Friday,midday Friday,SPE2,4
mixed,higher,SIMI,2
close,close,EQUI,5
,In Kenya,NOALI,0
Mall attackers,attackers,SPE1,4
used,used,EQUI,5
` less is more ' strategy,` less is more ' strategy,EQUI,5
,",",NOALI,0
,,NOALI,0
Solomon Islands,Solomon Islands,EQUI,5
strikes off,strikes off,EQUI,5
6.8 quake,Magnitude 6.3 quake,SIMI,4
,USGS,NOALI,0
recognizes,recognize,EQUI,5
,U.S.,NOALI,0
of Syria,of Syria,EQUI,5
of Syrian people,,NOALI,NIL
as legitimate representative,as sole representative,SIMI,4
Friends,Friends,EQUI,5
opposition coalition,opposition,EQUI,5
,",",NOALI,0
detained,detains,EQUI,5
for ` house sister ' scandal,for `` house sister '' scandal,EQUI,5
7,7,EQUI,5
,China,NOALI,0
takes a beating,tumbles,EQUI,5
Boeing 787 Dreamliner,on 787 Dreamliner,EQUI,5
catches fire,after fire,EQUI,5
stock,Boeing stock,EQUI,5
;,,NOALI,0
Gunmen,,NOALI,0
seven foreign workers,Seven foreign workers,EQUI,5
in Nigeria,in Nigeria,EQUI,5
abduct,kidnapped,EQUI,5
Israeli forces,security forces,EQUI,5
"in West Bank , Jerusalem",in W. Bank,EQUI,5
clash with,clash with,EQUI,5
Palestinians,Palestinians,EQUI,5
in bus accident,in road accident,SPE1,4
killed,killed,EQUI,5
12,10,SIMI,4
in Pakistan,in NW Pakistan,SPE2,4
Postpones,postpones,EQUI,5
,',NOALI,0
Family Reunions,family unions,EQUI,5
with South,with South Korea,EQUI,5
,`,NOALI,0
North Korea,North Korea,EQUI,5
From Soccer,from football,EQUI,5
Announces Retirement,retires,EQUI_FACT,5
David Beckham,David Beckham,EQUI,5
of Injuries,,NOALI,0
,`,NOALI,NIL
,',NOALI,NIL
on National Mall,on National Mall,EQUI,5
Dies,dies,EQUI,5
Man,Man,EQUI,5
Who Set Himself on Fire,who set himself ablaze,EQUI,5
Selected,is,SIMI,4
as Japan,Japan,EQUI,5
's Prime Minister,'s prime minister,EQUI,5
Shinzo Abe,Shinzo Abe,EQUI,5
after ski accident,following skiing accident,EQUI,5
,for his life,NOALI,0
Schumacher,Michael Schumacher,EQUI,5
in a coma,in a coma,EQUI,5
,still,NOALI,0
,fighting,NOALI,0
a Lance Armstrong biopic,Lance Armstrong in biopic,EQUI,5
Bradley Cooper and JJ Abrams,Bradley Cooper,SPE2,3
about filming,to play,REL,3
in talks,in talks,EQUI,5
determined,,NOALI,0
',,NOALI,0
,hold,NOALI,0
EU ministers,EU ministers,EQUI,5
`,,NOALI,0
,crisis talks,NOALI,0
horsemeat scandal,over horse meat scandal,EQUI,5
to resolve,,NOALI,0
,announces,NOALI,0
Thai opposition party,Thai opposition,EQUI,5
to boycott general election,election boycott,SPE1,4
continues,continues,EQUI,5
power crisis,blackout,EQUI,5
Jagan Reddy,Jagan,EQUI,5
,,NOALI,0
in Seemandhra,in Seemandhra,EQUI,5
,to spend,NOALI,0
to hospital,in hospital,EQUI,5
",",,NOALI,0
,Thursday,NOALI,0
shifted,,NOALI,0
,Telangana,NOALI,0
,;,NOALI,0
as Maracana re-opens,as Maracana re-opens,EQUI,5
tied,held,REL_POL,3
Brazil,Brazil,EQUI,5
2-2,2-2,EQUI,5
by England,by England,EQUI,5
warns against,weighs into,SIMI,3
bitter immigration debate,immigration debate,SPE1,4
George W. Bush,George W Bush,EQUI,5
ill,fall sick,EQUI,5
Hundreds,Hundreds,EQUI,5
of Bangladesh clothes factory workers,in Bangladesh factory,SPE1,3
conducts,launches,EQUI,5
on Syria,against Syria,EQUI,5
airstrike,new airstrike,SPE2,4
Israel,Israel,EQUI,5
',,NOALI,0
after China earthquake,in China quake,EQUI,5
`,,NOALI,0
Around 100 dead or injured,Hundreds dead or injured,SIMI,3
Killed,killed,EQUI,5
2 French Journalists,Two French journalists,EQUI,5
in Mali,in Mali,EQUI,5
in collapsed Japan tunnel,from Japan tunnel,SPE1,4
,',NOALI,0
,emits,NOALI,NIL
ablaze,left burning,EQUI,5
,as,NOALI,NIL
,smoke,NOALI,NIL
,`,NOALI,0
Vehicles,Vehicles,EQUI,5
attack,attack,EQUI,5
north Mali city,Malian troops in Gao,SPE2,3
after suicide bombings,,NOALI,0
Islamists,Islamists,EQUI,5
,,NOALI,0
,It,NOALI,NIL
approves,reached,EQUI,5
,official,NOALI,0
US Senate,,NOALI,NIL
,'s,NOALI,0
fiscal cliff deal,Deal on `` fiscal cliff '',EQUI,5
China stocks,China stocks,EQUI,5
higher,higher,EQUI,5
after economic meeting,,NOALI,0
,on Wednesday,NOALI,0
close,close,EQUI,5
Dolce and Gabbana,Dolce and Gabbana,EQUI,5
of tax evasion,in Italian Tax Case,SPE2,4
convicted,Fined,SIMI,4
on Syrian chemical arms,over Syria chemical claims,REL,3
,raises,NOALI,NIL
UK alert,West,SPE1,3
,stakes,NOALI,NIL
believed killed,dies,EQUI_FACT,5
,",",NOALI,0
,",",NOALI,0
in plane crash,in plane crash,EQUI,5
Mexican singer Jenni Rivera,Jenni Rivera Mexican music star,EQUI,5
climbs,rises,EQUI,5
to 15,to 11,SIMI,4
