x1,x2,sentence1,sentence2,y_type,y_score
A battery to a bulb,the bulb and the battery,A battery should connect to a bulb in a closed path.,the bulb and the battery are in a closed path,EQUI,5
should connect,are,A battery should connect to a bulb in a closed path.,the bulb and the battery are in a closed path,SIMI,3
in a closed path.,in a closed path,A battery should connect to a bulb in a closed path.,the bulb and the battery are in a closed path,EQUI,5
because,,The voltage is 1.5 because thebulb terminal is connected to the battery terminal.,terminal 1 is connected to the negative battery terminal,NOALI,NIL
1.5,,The voltage is 1.5 because thebulb terminal is connected to the battery terminal.,terminal 1 is connected to the negative battery terminal,NOALI,NIL
is connected,is connected,The voltage is 1.5 because thebulb terminal is connected to the battery terminal.,terminal 1 is connected to the negative battery terminal,EQUI,5
to the battery terminal.,to the negative battery terminal,The voltage is 1.5 because thebulb terminal is connected to the battery terminal.,terminal 1 is connected to the negative battery terminal,SPE2,4
The voltage,,The voltage is 1.5 because thebulb terminal is connected to the battery terminal.,terminal 1 is connected to the negative battery terminal,NOALI,NIL
thebulb terminal,terminal 1,The voltage is 1.5 because thebulb terminal is connected to the battery terminal.,terminal 1 is connected to the negative battery terminal,SPE2,4
is,,The voltage is 1.5 because thebulb terminal is connected to the battery terminal.,terminal 1 is connected to the negative battery terminal,NOALI,NIL
in a closed path,in closed paths,Bulb A and C will still be contained in a closed path with the battery,Bulbs A and C are still in closed paths with the battery,SPE1,4
Bulb A and C,Bulbs A and C,Bulb A and C will still be contained in a closed path with the battery,Bulbs A and C are still in closed paths with the battery,EQUI,5
with the battery,with the battery,Bulb A and C will still be contained in a closed path with the battery,Bulbs A and C are still in closed paths with the battery,EQUI,5
still,still,Bulb A and C will still be contained in a closed path with the battery,Bulbs A and C are still in closed paths with the battery,EQUI,5
will be contained,are,Bulb A and C will still be contained in a closed path with the battery,Bulbs A and C are still in closed paths with the battery,SIMI,4
the voltage,different electrical states,a gap in the circuit does not affect the voltage of the battery.,A battery uses a chemical reaction to maintain different electrical states at the terminals,REL,3
of the battery.,A battery,a gap in the circuit does not affect the voltage of the battery.,A battery uses a chemical reaction to maintain different electrical states at the terminals,EQUI,5
,uses,a gap in the circuit does not affect the voltage of the battery.,A battery uses a chemical reaction to maintain different electrical states at the terminals,NOALI,NIL
a gap,,a gap in the circuit does not affect the voltage of the battery.,A battery uses a chemical reaction to maintain different electrical states at the terminals,NOALI,NIL
,to maintain,a gap in the circuit does not affect the voltage of the battery.,A battery uses a chemical reaction to maintain different electrical states at the terminals,NOALI,NIL
,at the terminals,a gap in the circuit does not affect the voltage of the battery.,A battery uses a chemical reaction to maintain different electrical states at the terminals,NOALI,NIL
in the circuit,,a gap in the circuit does not affect the voltage of the battery.,A battery uses a chemical reaction to maintain different electrical states at the terminals,NOALI,NIL
does not affect,,a gap in the circuit does not affect the voltage of the battery.,A battery uses a chemical reaction to maintain different electrical states at the terminals,NOALI,NIL
,a chemical reaction,a gap in the circuit does not affect the voltage of the battery.,A battery uses a chemical reaction to maintain different electrical states at the terminals,NOALI,NIL
had,,had a closed path to the battery,Bulb A was still contained in the same closed path with the battery.,NOALI,NIL
to the battery,with the battery.,had a closed path to the battery,Bulb A was still contained in the same closed path with the battery.,EQUI,5
,Bulb A,had a closed path to the battery,Bulb A was still contained in the same closed path with the battery.,NOALI,NIL
,was,had a closed path to the battery,Bulb A was still contained in the same closed path with the battery.,NOALI,NIL
,contained,had a closed path to the battery,Bulb A was still contained in the same closed path with the battery.,NOALI,NIL
a closed path,in the same closed path,had a closed path to the battery,Bulb A was still contained in the same closed path with the battery.,SPE2,4
,still,had a closed path to the battery,Bulb A was still contained in the same closed path with the battery.,NOALI,NIL
The negative battery terminal,,The negative battery terminal is seperated by a gap from terminal 1 and 2,Terminals 1 and 2 are in the same electrical state,NOALI,NIL
,are,The negative battery terminal is seperated by a gap from terminal 1 and 2,Terminals 1 and 2 are in the same electrical state,NOALI,NIL
by a gap,,The negative battery terminal is seperated by a gap from terminal 1 and 2,Terminals 1 and 2 are in the same electrical state,NOALI,NIL
from terminal 1 and 2,Terminals 1 and 2,The negative battery terminal is seperated by a gap from terminal 1 and 2,Terminals 1 and 2 are in the same electrical state,EQUI,5
,in the same electrical state,The negative battery terminal is seperated by a gap from terminal 1 and 2,Terminals 1 and 2 are in the same electrical state,NOALI,NIL
is seperated,,The negative battery terminal is seperated by a gap from terminal 1 and 2,Terminals 1 and 2 are in the same electrical state,NOALI,NIL
,by a gap,The voltage has the same electrical state between any two terminals.,"Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap",NOALI,NIL
,are separated,The voltage has the same electrical state between any two terminals.,"Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap",NOALI,NIL
between any two terminals.,"Terminals 1, 2 and 3",The voltage has the same electrical state between any two terminals.,"Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap",SPE2,2
,from the positive battery terminal,The voltage has the same electrical state between any two terminals.,"Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap",NOALI,NIL
The voltage,,The voltage has the same electrical state between any two terminals.,"Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap",NOALI,NIL
the same electrical state,,The voltage has the same electrical state between any two terminals.,"Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap",NOALI,NIL
has,,The voltage has the same electrical state between any two terminals.,"Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap",NOALI,NIL
